"",V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
Ardipithecus_ramidus,0.278564588955804,0.0362696171592381,-0.0198938378998703,-0.607188769170134,-0.184665144746197,0.0615266570828096,0.201846829757956,0.35056208710615,0.538282492321882,0.305472831874347,-0.22517876177989,-0.0644579901048668,0.0625988070923167,-0.0164346867878935,-0.356111811832276,0.266344890832393,0.271185862920764,-0.159440623548811,-0.377418532815765,0.155062597222471,-0.260386547802027,0.181561783403797,0.0701917021383934,-0.0318736964137883,0.138671018544799,0.222871213236578,0.242407643325208,-0.202144640527681,0.392796782845837,-0.197817313447269,-0.37547512712429,0.00321412503924672,-0.0620020812311056,0.0123004371405188,0.415715684128889,0.337355417748541,-0.475522586293732,-0.154247840891832,0.322182020147052,-0.143621438332867,-0.181854109888391,-0.217369357325023,-0.637712951543576,0.140623408129616,-0.194820977799661,0.0601552111052148,0.468977269789884,-0.311691379470487,-0.0455693776013966,0.546400045365293
Australopithecus_afarensis,0.269646765157754,0.313693747981923,-0.0982235600206458,-0.478429365333622,-0.303861462320106,0.25811104030805,0.508692925124714,0.338390247953282,0.634128341019461,0.408827399232219,0.219198650028942,0.16569585171191,0.156209491896561,-0.339667601440121,-0.0674529595019603,0.0708703100255159,0.27318643468759,0.0355301167635313,0.239814080988517,0.108815330107216,-0.0110640324735465,-0.143134594436246,-0.339975203609953,0.143249239812506,-0.0435363094124651,0.213880730571733,0.124887590717085,-0.0417699887988548,0.0405444600047591,0.0948814811724351,-0.386366879448609,-0.315381329341165,-0.0490405063920844,0.0977019769591566,0.605031595586707,0.323918832845583,-0.557051564750526,-0.34505285508723,0.372691781516421,0.121754090540747,-0.290619751404164,-0.383460866570153,-0.323476506395893,0.289913160395899,-0.294140644127211,-0.434598292624689,0.265721401510919,-0.124316251236836,0.256035403265991,0.553040256343212
Australopithecus_sediba,0.562845555636144,-0.0130220108792987,0.285851308750865,-0.0694955401940034,-0.402881594637215,-0.117973167657337,0.447118054638793,-0.108727687259062,0.626476704007096,0.310721802965899,-0.293426822781923,-0.349271432728888,-0.249586198806006,-0.0642094776412787,0.0853151311459537,0.52870414934225,0.245365843537805,0.406943303414334,0.0497662692564111,0.722410572315258,-0.0939212002057778,0.265385305921407,0.0493846547071851,-0.292598251206833,-0.0421592693121385,-0.220531434093975,0.341249734434393,0.0144981012396124,0.195732311666751,0.102281254007562,-0.159988945062151,-0.539839767267593,-0.575784403850062,0.149383262385517,0.529565613633818,0.321643419366611,0.0196790793115386,-0.426051245762956,0.279901517017801,-0.114126388667757,-0.170506196382614,-0.15420240735269,-0.143406237279275,0.0775477592001821,-0.441796534612015,0.00422933251584423,-0.0552093464571403,0.0132568596168653,0.260935154638668,0.20607355263117
Homo_sapiens,0.293846801397832,0.085056418159982,0.717677824034524,-0.078461070219077,-0.0684891617947759,-0.236027832697125,0.417618622627277,0.230994151633133,0.799770602483884,0.115085585833811,0.161679939192593,-0.475517290633413,-0.384830543718249,0.485804504566134,-0.430970999357146,0.997695867250363,0.0177375180281013,0.513580704301057,0.0958830290054518,0.609297355993815,-0.400905150696115,0.651933500578578,-0.0535667429873507,0.13154938413197,-0.297985163740231,-0.277821456083223,0.860881102540063,-0.299403130007134,0.0455659527406557,0.309716385819928,-0.289750957952965,-0.427894619479737,-0.649442414922288,0.237362889367068,0.59785315618429,0.368277215069638,-0.263360958526431,-0.968525331659194,0.344662276125585,-0.441466255593035,-0.359817696756258,-0.0945736434546991,-0.660700990702822,0.0712673736059419,-0.582633772419421,-0.00634644072299467,0.148144143583144,-0.162453272621337,0.165830301850469,0.339326636647198
Homo_ergaster,0.239062742415873,-0.069111062993102,0.612435484022014,-0.106912311561771,-0.153595197152187,-0.316583739178587,0.202012143388624,0.20785755021735,0.887438208542092,0.0949156573450549,-0.0572324309185841,-0.366976355916031,-0.266565397569963,0.303165040034396,-0.432553567784522,0.683292605083508,0.069084628379934,0.649434391854889,0.142297720106047,0.667415323396312,-0.230547630566973,0.538959839088145,-0.142112824501468,-0.393250020063516,-0.487082038179297,-0.314906109574487,0.575539795131933,-0.259353350386662,-0.00172381083664002,0.425181988100024,-0.466088062644985,-0.566768213988569,-0.918529816606464,0.204812369760361,0.74513502156182,0.624523671704132,-0.23977173626948,-1.00486445095668,0.389199938732013,-0.300098125507787,-0.337583396177422,-0.0367032612201658,-0.638972377321004,0.131876675474659,-0.628189692895502,0.176815063263067,0.129732571806609,0.0184100397941583,0.111190151057721,0.370503282817772
Homo_habilis,0.336432626786948,0.168195339558201,0.752982112327586,-0.0782865415736584,-0.273692990051622,-0.269374374695836,0.523444528855637,0.155607354038241,0.886209884146341,0.147400859853666,0.0245954525179164,-0.622279600483659,-0.390515783985432,0.0904442580033402,-0.180123094554246,0.366249844941995,-0.0205141956171055,0.182903903107016,0.256681622338188,0.624421009415638,-0.159770149161049,0.879560849750304,-0.185132275420997,0.119038724866429,-0.2397128438075,-0.026015721872667,0.111144463275466,-0.323711490609397,-0.0981955738300422,0.287241134256178,0.02429856542362,-0.498550520194438,-0.708736132505543,0.218847450583879,0.618699720256062,0.218630776869227,-0.206550315768384,-1.22886331099094,0.173609034788696,-0.233379687003315,-0.182417321929412,-0.0147193411718677,-0.466787301303219,0.15327025067775,-0.398845746650105,0.0258853842997078,0.0113724051989592,-0.23556133015427,0.118027008330844,0.491313937107708
Homo_rudolfensis,0.092000744150014,0.191442093335329,0.101328906441129,-0.44649675676425,-0.74793638557985,-0.532599341759933,0.240678503390054,-0.220852886650509,0.185160744864107,0.821985679041135,-0.468206064024965,0.0277492380086788,-0.162060571088689,-0.147125060164149,0.219638753396276,0.384240989102978,0.232010349152913,0.566038439373439,-0.045711687885968,0.754210181537908,-0.378612029744598,0.319928567236333,-0.324050028372975,-0.268062627558382,0.110409462308214,0.288092625072495,0.443628905729713,0.0198514750890423,0.186166617565401,0.238373919351289,-0.253443765530252,-0.306087730221997,-0.158056621724316,-0.010420041101276,0.581350441345547,0.351656633672781,0.0783122986180664,-0.353289010874352,0.434714996143868,-0.187393453782207,-0.342919675326785,0.0945420386495362,-0.416268131658363,0.363336668398491,-0.251675290109328,-0.168663591857487,-0.0572272859570946,0.00459920671314021,0.137134475880509,0.322059052249088
Australopithecus_africanus,0.401665270268708,0.389857550857606,-0.0492198312924617,-0.237780950475747,-0.314226318673012,-0.440965212694243,0.52945300379713,-0.393333339376215,0.510380080365301,0.60448762506969,-0.197725785481332,-0.0409831875419953,-0.00443491672377058,-0.0956883184364136,0.0841009864917419,0.307115863864466,0.138254331624045,0.391661770813905,0.242450734021688,0.685107329805967,-0.205142138466882,0.119218988403889,-0.173376301116912,-0.209121910480285,-0.0695520113726902,0.732062147593141,0.356978300285253,0.163824334569568,0.0400540365965804,0.306258045910488,-0.435398676869744,-0.0824737421386365,-0.437874389696662,-0.0628589141587144,0.257867731219061,0.800304813819776,0.259270233832234,-0.453042789650502,0.301502944004438,-0.0125595751644566,-0.156494073732237,-0.258207209641311,-0.307749769249131,0.107338876301907,-0.603592612762869,0.130733008119561,-0.132680139232798,-0.0263900005580738,0.331936631790524,0.289255606001517
Kenyanthropus_platyops,0.353291858176751,0.0131716075450276,0.0647364454765758,-0.25744316311979,-0.397184862982977,-0.311353203625372,0.426686222248008,0.0648855546637187,0.506491121483537,0.589641583224582,-0.0369670044413969,0.0579355125562468,-0.184006845070951,-0.20863865905555,0.109008385890176,0.432717900807669,0.116328007456534,0.415140599810857,-0.00927443952615259,0.511837410293798,-0.388167482507034,0.21189327568182,-0.0869568944786973,-0.115297326360933,-0.0453583571376921,-0.0500166799195482,0.368147558801233,-0.0899984857764338,-0.056128893731462,0.121659973364765,-0.359184138447883,-0.39955629201337,-0.0893849156306166,-0.00780811901136299,0.595864338353537,0.33201884243679,0.159590886397035,-0.530157368439536,0.195548220853669,-0.254775776463507,-0.325722520218364,-0.212165138941156,-0.416879532259925,0.182520632455154,-0.360810662338998,-0.0121893226996644,-0.070564834920829,0.0662403393685369,0.274258496944772,0.247965555757468
Paranthropus_boisei,0.311489922586495,0.12339713283041,-0.0264304560556789,-0.560487194481193,-0.500165874495593,-0.214398749481848,0.687246038515818,-0.307321298961179,0.217942174922826,0.461273474022452,0.22599245454938,-0.0625146907112623,0.233828599188064,-0.460644204714631,0.385685703541092,0.425639058217249,0.0917659032518673,0.0278079727737983,0.442043213923043,0.983829568537743,0.480180119960363,0.0544894183561006,0.304749432252648,0.18503350285429,-0.004742276480942,-0.342186607036431,-0.178585749352803,-0.197761904036365,-0.29030452019599,-0.0988072443847812,-0.123021298485404,-0.618524058218574,-0.240862049955443,-0.15277502777232,0.451050771445834,0.945934335043793,-0.387100716358671,-0.398565191470564,0.208630012322178,-0.181219934374603,-0.630452009150435,0.0379406541675619,-0.167481197745186,0.738686634960924,-0.412865110740204,0.0975479714647928,0.246841405320317,0.528393110975226,0.683890906146479,0.184167730917167
