"","RF","SPR"
"result.1",36,14
"result.2",34,13
"result.3",36,11
"result.4",36,14
"result.5",36,13
"result.6",36,13
"result.7",34,11
"result.8",34,11
"result.9",34,12
"result.10",34,11
"result.11",36,12
"result.12",32,9
"result.13",36,10
"result.14",36,12
"result.15",36,11
"result.16",36,12
"result.17",34,12
"result.18",32,10
"result.19",36,12
"result.20",36,13
"result.21",34,12
"result.22",36,12
"result.23",32,10
"result.24",36,13
"result.25",36,13
"result.26",36,13
"result.27",34,11
"result.28",36,11
"result.29",34,10
"result.30",36,13
"result.31",36,12
"result.32",34,13
"result.33",36,14
"result.34",34,12
"result.35",36,13
"result.36",36,13
"result.37",36,12
"result.38",36,12
"result.39",36,12
"result.40",36,13
"result.41",36,12
"result.42",36,13
"result.43",36,12
"result.44",36,11
"result.45",36,12
"result.46",34,11
"result.47",36,12
"result.48",36,13
"result.49",36,13
"result.50",36,12
"result.51",36,12
"result.52",36,13
"result.53",36,12
"result.54",36,12
"result.55",34,11
"result.56",36,11
"result.57",36,12
"result.58",36,13
"result.59",36,12
"result.60",36,12
"result.61",36,13
"result.62",36,12
"result.63",36,12
"result.64",34,11
"result.65",36,12
"result.66",36,12
"result.67",36,13
"result.68",36,13
"result.69",36,12
"result.70",36,14
"result.71",34,13
"result.72",36,12
"result.73",36,12
"result.74",36,11
"result.75",36,12
"result.76",36,13
"result.77",36,12
"result.78",36,13
"result.79",36,13
"result.80",36,13
"result.81",36,12
"result.82",36,11
"result.83",36,13
"result.84",36,12
"result.85",36,13
"result.86",34,11
"result.87",34,11
"result.88",36,13
"result.89",36,12
"result.90",36,12
"result.91",36,13
"result.92",36,11
"result.93",34,12
"result.94",34,11
"result.95",34,11
"result.96",36,13
"result.97",36,13
"result.98",32,10
"result.99",34,11
"result.100",36,12
"result.101",34,12
"result.102",36,12
"result.103",34,13
"result.104",36,12
"result.105",34,12
"result.106",36,13
"result.107",36,12
"result.108",36,13
"result.109",36,13
"result.110",36,11
"result.111",36,13
"result.112",36,12
"result.113",36,12
"result.114",36,12
"result.115",36,13
"result.116",36,12
"result.117",36,13
"result.118",36,12
"result.119",36,12
"result.120",36,12
"result.121",34,11
"result.122",36,12
"result.123",34,12
"result.124",36,13
"result.125",36,12
"result.126",36,13
"result.127",36,12
"result.128",36,13
"result.129",36,13
"result.130",34,11
"result.131",36,12
"result.132",34,12
"result.133",36,13
"result.134",36,12
"result.135",34,12
"result.136",36,13
"result.137",36,13
"result.138",32,11
"result.139",34,11
"result.140",36,12
"result.141",36,13
"result.142",34,11
"result.143",34,11
"result.144",36,14
"result.145",32,11
"result.146",34,12
"result.147",36,12
"result.148",36,11
"result.149",36,14
"result.150",36,12
"result.151",34,12
"result.152",36,12
"result.153",34,11
"result.154",36,11
"result.155",36,12
"result.156",36,13
"result.157",36,12
"result.158",36,12
"result.159",36,11
"result.160",36,13
