	x
1	(((((((Ardipithecus_ramidus:0.113378,(((Australopithecus_afarensis:0.201238,(((Australopithecus_sediba:0.089062,((Homo_sapiens:0.151667,Homo_ergaster:0.039736):0.253305,Homo_habilis:0.100855):0.289318):0.092968,((Homo_rudolfensis:0.252625,Australopithecus_africanus:0.248673):0.07503,Kenyanthropus_platyops:0.042158):0.021153):0.141378,(((Paranthropus_boisei:0.176221,Paranthropus_robustus:0.374093):0.249827,Paranthropus_aethiopicus:0.012404):0.709147,Australopithecus_garhi:0.090699):0.063379):0.278037):0.069718,Australopithecus_anamensis:0.103691):0.029926,Sahelanthropus_tchadensis:0.295334):0.110187):0.190976,Pan_troglodytes:0.074008):0.102138,Gorilla_gorilla:0.10163):0.206075,Pongo_pygmaeus:0.393339):0.193813,Papio:0.01956):0.195913,Hylobates:0.209641):0,Colobus_guereza:0.07256);
2	(((((((Ardipithecus_ramidus:0.140951,(Sahelanthropus_tchadensis:0.148567,(((Australopithecus_africanus:0.246108,((Homo_rudolfensis:0.166829,((Homo_sapiens:0.162644,Homo_ergaster:0.050429):0.115395,Homo_habilis:0.214761):0.239483):0.041345,Kenyanthropus_platyops:0.02849):0.18566):0.111154,Australopithecus_sediba:0.055362):0.11373,(Australopithecus_garhi:0.069421,(((Paranthropus_boisei:0.129635,Paranthropus_robustus:0.371074):0.288066,Paranthropus_aethiopicus:0.006312):0.642865,(Australopithecus_anamensis:0.299414,Australopithecus_afarensis:0.234923):0.10352):0.027503):0.066362):0.12595):0.089149):0.112152,Pan_troglodytes:0.192654):0.05451,Gorilla_gorilla:0.087735):0.125596,Pongo_pygmaeus:0.3371):0.160911,Papio:0.073262):0.072514,Hylobates:0.201936):0,Colobus_guereza:0.058621);
3	((((((((Sahelanthropus_tchadensis:0.18097,(Australopithecus_anamensis:0.170462,(((Paranthropus_aethiopicus:0.016204,(Paranthropus_robustus:0.247665,Paranthropus_boisei:0.110981):0.314846):0.458899,(Australopithecus_garhi:0.080061,((((Homo_ergaster:0.0315,Homo_sapiens:0.26505):0.149094,Homo_habilis:0.18066):0.21513,Australopithecus_sediba:0.051578):0.028062,((Homo_rudolfensis:0.140822,Kenyanthropus_platyops:0.002918):0.163517,Australopithecus_africanus:0.297686):0.08717):0.113717):0.127019):0.022881,Australopithecus_afarensis:0.211546):0.097428):0.098107):0.023554,Ardipithecus_ramidus:0.119237):0.161956,Pan_troglodytes:0.120694):0.146845,Gorilla_gorilla:0.102499):0.029778,Pongo_pygmaeus:0.251505):0.20735,Hylobates:0.208237):0.081627,Papio:0.156299):0,Colobus_guereza:0.133437);
4	((((((((Ardipithecus_ramidus:0.08957,(Australopithecus_anamensis:0.189349,(((Australopithecus_sediba:0.031879,((Homo_habilis:0.183056,(Homo_sapiens:0.14732,Homo_ergaster:0.068464):0.035993):0.156772,((Kenyanthropus_platyops:0.069835,Homo_rudolfensis:0.181176):0.087215,Australopithecus_africanus:0.303009):0.046104):0.033209):0.219053,(Australopithecus_garhi:0.116716,Australopithecus_afarensis:0.211849):0.012979):0.04716,(Paranthropus_aethiopicus:0.106048,(Paranthropus_boisei:0.100641,Paranthropus_robustus:0.273788):0.191027):0.849509):0.196544):0.079738):0.129491,Sahelanthropus_tchadensis:0.17918):0.106481,Pan_troglodytes:0.123934):0.038871,Gorilla_gorilla:0.279835):0.075064,Pongo_pygmaeus:0.34144):0.218102,Papio:0.232481):0.119527,Hylobates:0.180961):0,Colobus_guereza:0.03259);
5	(((((((((Australopithecus_anamensis:0.200142,((Paranthropus_aethiopicus:0.034184,(Paranthropus_robustus:0.221704,Paranthropus_boisei:0.03483):0.258537):0.778813,(Australopithecus_garhi:0.116707,(Australopithecus_afarensis:0.159473,(((Australopithecus_africanus:0.46897,Homo_rudolfensis:0.078151):0.019664,Kenyanthropus_platyops:0.113105):0.232616,(Australopithecus_sediba:0.042104,(Homo_habilis:0.280568,(Homo_ergaster:0.025408,Homo_sapiens:0.092137):0.173781):0.162695):0.000894):0.288562):0.008216):0.199175):0.162524):0.143399,Ardipithecus_ramidus:0.044418):0.049876,Sahelanthropus_tchadensis:0.236951):0.14632,Pan_troglodytes:0.037823):0.096727,Gorilla_gorilla:0.101076):0.063383,Pongo_pygmaeus:0.333257):0.202327,Hylobates:0.040428):0.270147,Papio:0.29817):0,Colobus_guereza:0.026749);
6	(((((((((((Australopithecus_afarensis:0.256004,((((Homo_sapiens:0.205855,Homo_ergaster:0.038138):0.137239,Homo_habilis:0.202637):0.135268,Australopithecus_sediba:0.110575):0.039684,(Australopithecus_africanus:0.249136,(Kenyanthropus_platyops:0.059834,Homo_rudolfensis:0.094076):0.084479):0.085606):0.09438):0.04401,(Australopithecus_garhi:0.016272,((Paranthropus_boisei:0.129416,Paranthropus_robustus:0.480295):0.21098,Paranthropus_aethiopicus:0.003222):0.466009):0.258481):0.200662,Australopithecus_anamensis:0.305994):0.18762,Ardipithecus_ramidus:0.140334):0.168842,Sahelanthropus_tchadensis:0.02315):0.289315,Pan_troglodytes:0.140768):0.032996,Gorilla_gorilla:0.177324):0.027208,Pongo_pygmaeus:0.261931):0.392241,Papio:0.055792):0.121342,Hylobates:0.138403):0,Colobus_guereza:0.066428);
7	((((((((Sahelanthropus_tchadensis:0.153414,(Australopithecus_anamensis:0.230416,(Australopithecus_afarensis:0.206624,((Paranthropus_aethiopicus:0.118284,(Paranthropus_boisei:0.192385,Paranthropus_robustus:0.47061):0.130347):0.837299,(Australopithecus_garhi:0.393078,(((Australopithecus_africanus:0.356472,Homo_rudolfensis:0.095817):0.049141,Kenyanthropus_platyops:0.120232):0.131862,(Australopithecus_sediba:0.010171,(Homo_habilis:0.223695,(Homo_sapiens:0.156086,Homo_ergaster:0.056741):0.084324):0.194662):0.102004):0.217595):0.022756):0.072044):0.12106):0.174038):0.106672,Ardipithecus_ramidus:0.148123):0.167376,Pan_troglodytes:0.110762):0.220092,Gorilla_gorilla:0.100111):0.059975,Pongo_pygmaeus:0.202253):0.26295,Papio:0.115819):0.082594,Hylobates:0.145507):0,Colobus_guereza:0.050435);
8	(((((((Ardipithecus_ramidus:0.077361,(((((((Australopithecus_sediba:0.090849,((Homo_rudolfensis:0.10265,Kenyanthropus_platyops:0.008024):0.06096,Australopithecus_africanus:0.336191):0.126637):0.089361,(Homo_habilis:0.154385,(Homo_sapiens:0.183157,Homo_ergaster:0.090934):0.081543):0.186671):0.194835,Australopithecus_afarensis:0.147177):0.039109,Australopithecus_garhi:0.309624):0.076536,Australopithecus_anamensis:0.353307):0.010541,(Paranthropus_aethiopicus:0.030084,(Paranthropus_robustus:0.495785,Paranthropus_boisei:0.00653):0.335891):0.764595):0.238737,Sahelanthropus_tchadensis:0.284837):0.008513):0.162177,Pan_troglodytes:0.024673):0.223068,Gorilla_gorilla:0.107857):0.237214,Pongo_pygmaeus:0.239019):0.094102,Papio:0.04588):0.14249,Hylobates:0.185229):0,Colobus_guereza:0.081335);
9	(((((((((((Paranthropus_aethiopicus:0.029584,(Paranthropus_boisei:0.135628,Paranthropus_robustus:0.361888):0.151713):0.660077,(((Australopithecus_africanus:0.273196,(Kenyanthropus_platyops:0.022022,Homo_rudolfensis:0.095945):0.104264):0.124152,(Australopithecus_sediba:0.044266,(Homo_habilis:0.135104,(Homo_ergaster:0.042507,Homo_sapiens:0.156633):0.241072):0.164766):0.007785):0.347806,(Australopithecus_afarensis:0.328108,Australopithecus_garhi:0.14357):0.008235):0.073389):0.138144,Australopithecus_anamensis:0.263876):0.047827,Ardipithecus_ramidus:0.137178):0.031478,Sahelanthropus_tchadensis:0.210775):0.214914,Pan_troglodytes:0.052397):0.301562,Pongo_pygmaeus:0.214971):0.031534,Gorilla_gorilla:0.053275):0.472705,Papio:0.148845):0.090279,Hylobates:0.166155):0,Colobus_guereza:0.044209);
10	((((((((Sahelanthropus_tchadensis:0.154111,(((((Australopithecus_africanus:0.346565,Australopithecus_garhi:0.034154):0.093951,Australopithecus_afarensis:0.206661):0.105216,(Australopithecus_sediba:0.160736,((Homo_habilis:0.223787,(Homo_sapiens:0.197953,Homo_ergaster:0.063387):0.12889):0.188541,(Kenyanthropus_platyops:0.025928,Homo_rudolfensis:0.088669):0.21297):0.061001):0.246627):0.054204,Australopithecus_anamensis:0.244682):0.076047,(Paranthropus_aethiopicus:0.025321,(Paranthropus_boisei:0.040501,Paranthropus_robustus:0.452286):0.331988):0.407145):0.341827):0.079475,Ardipithecus_ramidus:0.085578):0.131935,Pan_troglodytes:0.149769):0.075602,Gorilla_gorilla:0.190529):0.066178,Pongo_pygmaeus:0.346538):0.140209,Papio:0.135747):0.057672,Hylobates:0.123754):0,Colobus_guereza:0.095649);
